City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
390,Cayenne,GF,83.08,4.9333,-52.3333,Hôtel Le Dronmi
391,Caravelas,BR,70.57,-17.7125,-39.2481,Pousada dos Navegantes
393,Shenjiamen,CN,68.56,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
394,Luganville,VU,81.41,-15.5333,167.1667,The Espiritu Hotel
395,Nikolskoye,RU,62.87,59.7035,30.7861,Tourist House - Sablino
396,Korla,CN,73.09,41.7597,86.1469,Gulisitan Hotel
399,Eston,CA,70.92,51.1501,-108.7514,Hearthside Place B&B
400,Mitu,CO,77.81,1.1983,-70.1733,
402,Hammond,US,66.15,41.5834,-87.5,"Courtyard by Marriott Chicago Southeast/Hammond, IN"
403,Maningrida,AU,70.5,-12.0667,134.2667,Dhukurrdji Lodge
404,Krasnoznamensk,RU,60.78,55.5994,37.0386,"Golitsyno, Umts"
405,Fort Smith,US,70.34,35.3859,-94.3986,Hampton Inn Fort Smith
406,Ciudad Bolivar,VE,84.36,8.1222,-63.5497,Hotel Edi
407,Tipp City,US,77.07,39.9584,-84.1722,"Holiday Inn Express & Suites Dayton North - Tipp City, an IHG Hotel"
408,Severnyy,RU,60.84,50.677,36.5532,Full House North Mini-Hotel
410,Inongo,CD,72.28,-1.95,18.2667,Hotel Du Lac
411,Salamiyah,SY,67.08,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
412,Felanitx,ES,73.96,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
414,Aguimes,ES,68.63,27.9054,-15.4461,Hotel Villa de Aguimes
415,Sulangan,PH,83.37,11.1373,123.7228,Maia's Beach Resort
416,Palmer,US,80.06,42.1584,-72.3287,Wedgewood Motel
417,Nyurba,RU,60.89,63.2842,118.3319,"Гостиница ""Comfort"""
418,Mapiri,BO,72.41,-15.25,-68.1667,
419,Sioux Lookout,CA,66.27,50.1001,-91.917,Knobby's Fly-In Camps
420,Ahipara,NZ,60.67,-35.1667,173.1667,Ahipara Holiday Park
422,Arawa,PG,80.4,-6.2132,155.5367,Coastline Guest House
